,date,Price,Adjusted Price,ExpiryDate,ExercisePrice,Settlement,EndofDayDelta,Volatility,VolatilityForValuation,log_price,one,Intercept,log_variance_constant,instrument_intercept
84,2021-03-05,4.074,3.561485303818405,2024-12-20,5.0,0.48,41.6807,29.0,29.799,1.270177678025513,1,1,1,1
85,2021-03-09,4.292,3.7520606097173768,2024-12-20,5.0,0.54,44.3453,29.0,29.909,1.3223051849893508,1,1,1,1
86,2021-03-10,4.24,3.706602279869916,2024-12-20,5.0,0.55,44.59,29.0,29.825,1.3101156294647653,1,1,1,1
87,2021-03-11,4.165,3.6410373810514622,2024-12-20,5.0,0.54,44.1751,30.0,30.367,1.2922686358397049,1,1,1,1
88,2021-03-12,4.195,3.667263340578844,2024-12-20,5.0,0.5,42.6636,30.0,30.18,1.2994457001400685,1,1,1,1
89,2021-03-16,4.107,3.5903338592985246,2024-12-20,5.0,0.5,42.2603,30.0,30.652,1.2782451951953204,1,1,1,1
90,2021-03-17,4.081,3.5676046943747943,2024-12-20,5.0,0.5,42.2004,30.0,30.821,1.2718944166445676,1,1,1,1
91,2021-03-18,4.155,3.6322953945423353,2024-12-20,5.0,0.48,41.7205,30.0,30.824,1.2898647885283105,1,1,1,1
92,2021-03-19,4.036,3.5282657550837215,2024-12-20,5.0,0.51,42.818,30.0,30.594,1.2608064627122613,1,1,1,1
93,2021-03-23,3.865,3.3787777857776473,2024-12-20,5.0,0.43,39.3316,30.0,30.822,1.2175140422602841,1,1,1,1
94,2021-03-24,3.929,3.434726499436061,2024-12-20,5.0,0.39,37.4139,30.0,30.712,1.2339373007972216,1,1,1,1
95,2021-03-25,4.007,3.5029139942072525,2024-12-20,5.0,0.4,38.0717,30.0,30.192,1.2535951918749062,1,1,1,1
96,2021-03-26,4.008,3.5037881928581656,2024-12-20,5.0,0.45,40.2887,30.0,30.846,1.2538447240034625,1,1,1,1
97,2021-03-30,4.144,3.6226792093822953,2024-12-20,5.0,0.45,40.2562,30.0,30.751,1.287213865178081,1,1,1,1
98,2021-03-31,4.05,3.5405045361964995,2024-12-20,5.0,0.49,41.9846,30.0,30.083,1.2642692413393466,1,1,1,1
99,2021-04-01,4.082,3.5684788930257065,2024-12-20,5.0,0.45,40.2183,30.0,30.081,1.272139424608552,1,1,1,1
